"","X","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Version","Face.Covering.Requirement"
"1812","Hawaii","","rollback","","",NA,"",NA,"2020_06_16",NA
"1813","Hawaii","","","rollback","",NA,"",NA,"2020_05_07",NA
"1814","Hawaii","","","","rollback",NA,"",NA,"2020_06_19",NA
"1815","Hawaii","","","","",NA,"rollback",NA,"2020_06_01",NA
"1816","Idaho","rollback","","rollback","rollback",NA,"",NA,"2020_05_01",NA
"1817","Idaho","","rollback","","",NA,"",NA,"2020_05_30",NA
"1818","Idaho","","","","",NA,"rollback",NA,"2020_05_16",NA
"1819","Illinois","rollback","","rollback","rollback",NA,"rollback",NA,"2020_05_29",NA
"1820","Indiana","rollback","","rollback","rollback",NA,"",NA,"2020_05_04",NA
"1821","Indiana","","","","",NA,"rollback",NA,"2020_05_11",NA
"1822","Iowa","","","rollback","",NA,"rollback",NA,"2020_05_01",NA
"1823","Iowa","","","","rollback",NA,"",NA,"2020_06_01",NA
"1824","Kansas","rollback","","rollback","",NA,"rollback",NA,"2020_05_04",NA
"1825","Kansas","","","","rollback",NA,"",NA,"2020_05_22",NA
"1826","Kentucky","","rollback","","",NA,"",NA,"2020_05_06",NA
"1827","Kentucky","","","rollback","",NA,"",NA,"2020_05_11",NA
"1828","Kentucky","","","","rollback",NA,"",NA,"2020_05_25",NA
"1829","Kentucky","","","","",NA,"rollback",NA,"2020_05_22",NA
"1830","Louisiana","rollback","","rollback","",NA,"",NA,"2020_05_15",NA
"1831","Louisiana","","","","",NA,"rollback",NA,"2020_06_05",NA
"1832","Maine","","","","rollback",NA,"rollback",NA,"2020_06_01",NA
"1833","Maine","","","rollback","",NA,"",NA,"2020_05_01",NA
"1834","Maryland","rollback","","rollback","",NA,"",NA,"2020_05_15",NA
"1835","Maryland","","","","rollback",NA,"",NA,"2020_06_10",NA
"1836","Maryland","","","","",NA,"rollback",NA,"2020_05_29",NA
"1837","Massachusetts","","","rollback","",NA,"",NA,"2020_05_19",NA
"1838","Massachusetts","","","","",NA,"rollback",NA,"2020_06_08",NA
"1839","Michigan","rollback","","","",NA,"",NA,"2020_06_01",NA
"1840","Michigan","","","rollback","",NA,"",NA,"2020_04_24",NA
"1841","Michigan","","","","rollback",NA,"",NA,"2020_05_21",NA
"1842","Michigan","","","","",NA,"rollback",NA,"2020_06_08",NA
"1843","Minnesota","rollback","","","",NA,"",NA,"2020_05_18",NA
"1844","Minnesota","","","rollback","",NA,"",NA,"2020_04_27",NA
"1845","Minnesota","","","","",NA,"rollback",NA,"2020_06_01",NA
"1846","Mississippi","rollback","","rollback","",NA,"",NA,"2020_04_27",NA
"1847","Mississippi","","","","rollback",NA,"",NA,"2020_06_01",NA
