"","X","Province_State","Last_Update","Confirmed","Deaths","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","Testing_Rate","Hospitalization_Rate"
"9188",9188,"California","9/18/2020 5:10",775037,14804,NA,760233,1961.512011,13080037,NA,1.910102356,33103.77399,NA
"9189",9189,"Colorado","9/18/2020 5:10",63145,2006,6220,54899,1096.160685,1153853,NA,3.177821782,20036.56705,NA
"9190",9190,"Connecticut","9/18/2020 5:10",55386,4488,9204,41694,1553.479425,1408273,NA,8.103130755,39499.56904,NA
"9191",9191,"Delaware","9/18/2020 5:10",19318,619,10193,8506,1983.848242,267168,NA,3.204265452,27436.62736,NA
"9192",9192,"Diamond Princess","9/18/2020 5:10",49,0,NA,49,NA,NA,NA,0,NA,NA
"9193",9193,"District of Columbia","9/18/2020 5:10",14790,619,11763,2408,2095.645902,341318,NA,4.185260311,48362.51982,NA
"9194",9194,"Florida","9/18/2020 5:10",674456,13086,NA,661370,3140.25635,5010973,NA,1.940230349,23331.01015,NA
"9195",9195,"Georgia","9/18/2020 5:10",300903,6474,NA,294429,2834.049279,2679891,NA,2.151523913,25240.50327,NA
"9196",9196,"Grand Princess","9/18/2020 5:10",103,3,NA,100,NA,NA,NA,2.912621359,NA,NA
"9197",9197,"Guam","9/18/2020 5:10",2045,30,1427,588,1245.212478,45253,NA,1.466992665,27554.81675,NA
"9198",9198,"Hawaii","9/18/2020 5:10",11105,107,4105,6893,784.3223116,265500,NA,0.963529941,18751.69507,NA
"9199",9199,"Idaho","9/18/2020 5:10",36489,434,19405,16650,2041.839553,283365,NA,1.189399545,15856.44618,NA
"9200",9200,"Illinois","9/18/2020 5:10",270294,8624,NA,261670,2133.032024,4923033,NA,3.190599865,38850.24102,NA
"9201",9201,"Indiana","9/18/2020 5:10",108646,3478,85334,19834,1613.821535,1269650,NA,3.201222318,18859.30924,NA
"9202",9202,"Iowa","9/18/2020 5:10",77204,1250,55834,20120,2446.982159,701438,NA,1.619087094,22232.08994,NA
"9203",9203,"Kansas","9/18/2020 5:10",51164,582,1920,48662,1756.213028,464226,NA,1.137518568,15934.63664,NA
"9204",9204,"Kentucky","9/18/2020 5:10",59370,1093,11109,47168,1328.87971,1038685,NA,1.840997137,23248.90385,NA
"9205",9205,"Louisiana","9/18/2020 5:10",159304,5313,145570,8421,3426.781225,2124190,NA,3.335132828,45693.35617,NA
"9206",9206,"Maine","9/18/2020 5:10",4962,138,4317,507,369.1382014,351378,NA,2.781136638,26140.07314,NA
"9207",9207,"Maryland","9/18/2020 5:10",118519,3861,7311,107347,1960.391552,1494342,NA,3.257705516,24717.5173,NA
"9208",9208,"Massachusetts","9/18/2020 5:10",126128,9260,109397,7471,1829.930288,3199563,NA,7.341748065,46420.91559,NA
"9209",9209,"Michigan","9/18/2020 5:10",126722,6955,85513,34254,1268.887699,3251731,NA,5.488391913,32560.10374,NA
"9210",9210,"Minnesota","9/18/2020 5:10",86722,1994,79878,4850,1537.724447,1263546,NA,2.299301215,22404.75974,NA
"9211",9211,"Mississippi","9/18/2020 5:10",91935,2780,78971,10184,3089.059049,633432,NA,3.023875564,21283.61181,NA
"9212",9212,"Missouri","9/18/2020 5:10",109557,1782,NA,107775,1785.063711,1178581,NA,1.626550563,19203.17436,NA
